adm_group,spoken_text,alexa_display_title,small_icon,tags,amazon_background_data,android_led_color,buttons,included_segments,apns_alert,send_after,android_group_message,chrome_icon,headings,isWP,web_push_topic,alexa_ssml,isSafari,isFirefox,isAlexa,adm_big_picture,data,adm_large_icon,converted,successful,isIos,large_icon,url,chrome_big_picture,chrome_web_badge,contents,adm_sound,canceled,android_accent_color,big_picture,content_available,isEdge,android_visibility,ttl,delivery_time_of_day,web_buttons,isAdm,android_sound,chrome_web_image,isAndroid,thread_id,id,ios_category,firefox_icon,ios_badgeCount,queued_at,app_id,completed_at,remaining,adm_small_icon,android_group,priority,isChrome,adm_group_message,excluded_segments,failed,delayed_option,isWP_WNS,ios_sound,template_id,errored,chrome_web_icon,filters,wp_sound,ios_badgeType,include_player_ids,isChromeWeb,wp_wns_sound
,{},,,,False,,"[{""id"":""1"",""text"":""Like"",""icon"":""""},{""id"":""2"",""text"":""Dislike"",""icon"":""""}]",['Subscribed Users'],{},1531390065,{'en': ''},,{'en': 'D-Judge'},False,,,False,False,False,,,,1,1,False,,,,,{'en': 'What do you think of this design element?'},,False,,https://img.onesignal.com/n/f1b8f0f4-a4bf-4c9e-87f5-6d33b5b06b94.png,False,False,1,,1:06PM,,False,,,True,,fef9d6df-4260-4d2a-bfd1-9206c27aa041,,,1,1531390065,096e304e-4266-4480-9362-2af60fdd89e4,1531390065,0,,,5,False,{'en': ''},[],0,immediate,False,,,0,,,,None,,False,
,{},,,,False,,"[{""id"":""yes"",""text"":""Like"",""icon"":""""},{""id"":""no"",""text"":""Dislike"",""icon"":""""}]",['Subscribed Users'],{},1531376528,{'en': ''},,{},False,,,False,False,False,,,,1,1,False,,,,,{'en': 'How do you like this design element?'},,False,,https://img.onesignal.com/n/c377e677-7505-4d17-b2f9-48016cfe518c.jpg,False,False,1,,9:18AM,,False,,,True,,691fdc04-b4f4-4d16-86eb-3f1cecc7bb17,,,1,1531376528,096e304e-4266-4480-9362-2af60fdd89e4,1531376529,0,,,5,False,{'en': ''},[],0,immediate,False,,,0,,,,None,,False,
,{},,,,False,,"[{""id"":""id1"",""text"":""Accept"",""icon"":""ic_menu_share""},{""id"":""id2"",""text"":""Decline"",""icon"":""ic_menu_send""}]",['Subscribed Users'],{},1531216017,{'en': ''},,{'en': 'Button Test'},False,,,False,False,False,,,,1,1,False,,,,,{'en': 'testing ...'},,False,,,False,False,1,,12:45PM,,False,,,True,,4f310d7f-82e6-4e4a-800b-95edc95b9c88,,,1,1531216017,096e304e-4266-4480-9362-2af60fdd89e4,1531216018,0,,,5,False,{'en': ''},[],0,immediate,False,,,0,,,,None,,False,
,,,,,,,,[],,1531136983,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,24327174-383d-4cd0-a6b6-2423f2f3adb2,,,,1531136983,096e304e-4266-4480-9362-2af60fdd89e4,1531136985,0,,,,False,,[],0,,False,,,0,,,,,,False,
,,,,,,,,[],,1531135987,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,7fd7635e-bf0a-46f2-90fe-82c857c88e90,,,,1531135987,096e304e-4266-4480-9362-2af60fdd89e4,1531135989,0,,,,False,,[],0,,False,,,0,,,,,,False,
,,,,,,,,[],,1531135462,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,291dfc55-6db5-4af6-9978-541a07c12dde,,,,1531135462,096e304e-4266-4480-9362-2af60fdd89e4,1531135465,0,,,,False,,[],0,,False,,,0,,,,,,False,
,,,,,,,,[],,1531135461,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,95ca5161-9c51-4d26-b668-e37e824e6a97,,,,1531135461,096e304e-4266-4480-9362-2af60fdd89e4,1531135462,0,,,,False,,[],0,,False,,,0,,,,,,False,
,,,,,,,,[],,1531135431,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,a4f98794-3801-43a5-9a9d-1a9c501e833a,,,,1531135431,096e304e-4266-4480-9362-2af60fdd89e4,1531135433,0,,,,False,,[],0,,False,,,0,,,,,,False,
,,,,,,,,[],,1531135416,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,48740ef4-8b80-4684-ad98-645fd02b239f,,,,1531135416,096e304e-4266-4480-9362-2af60fdd89e4,1531135417,0,,,,False,,[],0,,False,,,0,,,,,,False,
,,,,,,,,[],,1531134691,,,{'en': 'Campus Tracker'},False,,,False,False,False,,,,0,1,False,,,,,{'en': 'Time to answer the survey'},,False,,,False,False,,,,,False,,,True,,50f5dae9-f2b8-4cde-8236-82f3b4822205,,,,1531134691,096e304e-4266-4480-9362-2af60fdd89e4,1531134692,0,,,,False,,[],0,,False,,,0,,,,,,False,
